;;;;;;;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;Следует плану при выполнении задач;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;Эффективно обрабатывать входящие письма;;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;Эффективно обрабатывать входящие звонки;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;Эффективно обрабатывать результаты встречи;;;Управлять количеством и периодами времени, затраченного на IM;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;Легко включается в работу из стрессовой ситуации ;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;
215;;ET3.3;ЗВОНОК КОНСУЛЬТАНТА ;13:30;;26;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
216;;ET3.3;ЗВОНОК КОНСУЛЬТАНТА ;;;1;;26;;1;1;Ответить;да;E3.1;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
217;;ET3.3;ЗВОНОК КОНСУЛЬТАНТА ;;;1;;26;;1;2;Не ответить;да;T;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
218;209;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;1;0;- Мой звонок имеет принципиальную важность! Прошу вас уделить мне несколько минут! Меня зовут Анжела Блеск, я – менеджер стратегического проекта, который начала ваша компания. Надеюсь, вы знакомы с этим проектом?;нет;-;E3.1_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.1_1.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
219;210;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;;1;1;- Добрый день! Да, слышал. Важный проект!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
220;211;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;1;2;- Здравствуйте. Любопытно. И какое отношение этот проект имеет ко мне?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;dialog;да
221;212;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;1;3;- Здравствуйте, Анжела. Нет, меня не информировали. ;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
222;213;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;26;"обольстительно, властно, смеется  перед ""ваш…""";1;уравновешенное;2;0;- Вот именно об этом я и хотела с вами поговорить! Проект получил самый высокий приоритет. От его успеха зависит успех компании, а значит и ваш! В смысле карьеры, конечно. Мы же все должны думать о будущем росте, не так ли? Ваш руководитель дала мне ваш телефон и сказала, что вы именно тот человек, который мне нужен. Она сказала, что вы - настоящий кладезь информации о компании, все знаете, причем в цифрах! Мне повезло, что удалось застать вас перед отпуском! ;нет;-;E3.1_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.1_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
223;214;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;2;1;- Благодарю, польщен. Так о чем вы хотели поговорить?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;1;;;dialog;да
224;215;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;2;2;- Извините, давайте созвонимся после отпуска, я сейчас очень занят. ;да;P4;нет;#N/A;;Разговор по телефону;F21;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;1;;;;1;;;dialog;да
225;216;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;2;3;- А мой руководитель не сообщила вам, что я сейчас очень занят? Извините, но у меня нет времени на  разговоры.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;;;;;;0;;;dialog;да
226;217;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;3;0;- Мне жизненно необходимо увидеться с вами до отпуска! Позвольте, я  вкратце расскажу вам о проекте. Это совершенно беспрецедентный опыт. На этом рынке такое происходит впервые  - чтобы такая крупная компания, как ваша, задумалась о смене стратегии! Этот опыт войдет в историю, и история будет твориться нашими руками! Вашими руками! У вас не только появится опыт совместной разработки стратегических решений, мы вместе пройдем весь процесс! Вы узнаете все секреты самой опытной консалтинговой компании. Не каждому такое дано!;нет;-;E3.1_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.1_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
227;218;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;3;1;- Кхе…кхе…;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
228;219;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;3;2;- Извините, но у меня перед отпуском совершенно нет времени.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
229;220;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;3;3;- Сколько именно времени  вам нужно и для чего?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
230;221;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;4;0;- Поверьте, мы все очень заняты! Но этот приоритет установил сам Босс! Это его проект – он его спонсор. В прямом и переносном смысле. Ха-ха.. К проекту привлекаются только самые перспективные сотрудники, они попадут в кадровый резерв. Не лишайте себя такой возможности! Речь идет о каких-то тридцати минутах на первую встречу – всего несколько вопросов, и вы в команде стратегического комитета! Вы же обладатель уникальной информации, а вас не будет целых две недели. Не могу же я сказать Боссу, что проект буксует только потому, что у одного из менеджеров не нашлось получаса на встречу!;нет;-;E3.1_4.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.1_4.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
231;222;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;1;- Да я не отказываюсь с вами встречаться, хочу только понять цель и сроки!;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;dialog;да
232;223;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;2;- Хорошо, если это так важно, вы можете подойти прямо сейчас. Мой кабинет 213. Больше свободного времени до отпуска у меня не будет. ;да;E3.5;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;0;;;;;;dialog;да
233;224;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;3;- А давайте я позвоню вам в первый же день после отпуска! Я буду гораздо полезней на свежую голову! ;да;P4;нет;#N/A;;Разговор по телефону;F21;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;1;;;;;;dialog;да
234;225;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;26;уравновешенное;1;уравновешенное;5;0;- Наша цель – создать стратегию, которая выведет вашу компанию на лидерские позиции. Для этого требуются всего 30 минут вашего времени! Вопросы у меня несложные: устройство компании и ваше видение ее потенциала. Вы ведь наверняка думали о том, что и как можно было бы улучшить! Может, вы и есть тот менеджер, который поведет компанию вперед. Между нами говоря, Босс ведь моложе не становится, ему нужен приемник…;нет;-;E3.1_5.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.1_5.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
235;226;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;1;- Я вас понял. Давайте сегодня после 18.00! ;да;E3.5;нет;#N/A;;Разговор по телефону;F10;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;1;;;1;;;;;;0;;;;;dialog;да
236;227;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;2;- Я вас понял. Давайте договоримся на завтра. Я просмотрю свой план и сообщу вам, когда у меня освободится окошко. ;да;P4;нет;#N/A;;Разговор по телефону;F11;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;1;;;1;;;;;;0;;;;;dialog;да
237;228;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;3;- Я вас понял. Могу выделить минут двадцать прямо сейчас. Мой кабинет 213. Больше у меня до отпуска времени не предвидится. ;да;E3.5;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;dialog;да
238;229;E3.1;РАЗГОВОР ПО ТЕЛЕФОНУ С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;;5;4;- Теперь ясно! Давайте встретимся для обсуждения в первый же день после отпуска. ;да;P4;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;dialog;да
239;230;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;5;26;обольстительно, властно;1;уравновешенное;1;0;- Я вам так благодарна за то, что вы нашли время для нашей встречи! Люди совершенно разучились мыслить стратегически, все сконцентрированы на текущих проблемах, все спешат, спешат. Какое счастье встретить единомышленника! ;нет;-;E3_5_1_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_1.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
240;231;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;1;1;- Здравствуйте, Анжела! У нас 20 минут на обсуждение великих планов.;нет;-;E3_5_1_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
241;232;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;1;2;- Добрый день, Анжела! Приступайте к вашим вопросам.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
242;233;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;2;0;- Да, да, времени совсем мало. И все же нам следует получше узнать друг друга, ведь впереди столько работы! Вы же знаете, успех любого проекта на девяносто процентов зависит от слаженности команды! Потому не стесняйтесь – задавайте вопросы и мне, с удовольствием отвечу! Где тут мой блокнот?......Итак… Начнем…Сколько лет вы работаете в компании?;нет;-;E3_5_2_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_2.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
243;234;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;2;1;- Чуть больше года;нет;-;E3_5_2_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;dialog;да
244;235;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;2;2;- Не помню, не считал;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
245;236;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;2;3;- А при чем тут мой стаж в компании?;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
246;237;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;3;0;- Второй вопрос: если бы вас назначили Генеральным директором, компании, что бы вы изменили в первую очередь?;нет;-;E3_5_3_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_3.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
247;238;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;3;1;- Ну, не знаю. Здесь надо подумать.;нет;-;E3_5_3_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
248;239;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;3;2;- Я бы приказал туалеты мыть трижды в день или чаще – к концу дня зайти не возможно.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
249;240;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;3;3;- Вероятно, начал бы с команды.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
250;241;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;доверительно;1;уравновешенное;4;0;"- Да-да, это очень важно. Далее: расскажите об организационной структуре компании. Кстати, вы ведь в структуре Денежной? Ну и как она вам? Между нами, дама не из приятных… Наверное, вам от нее достается? А сама, небось, только указания раздает! Да? Как у вас с ней функционал распределен?
";нет;-;E3_5_4_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_4.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
251;242;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;1;- И не говорите, все очень не просто. И ладно бы замечания были по делу. А то так – сплошное настроение!;нет;-;E3_5_4_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;;;dialog;да
252;243;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;2;- Функционал? Проще простого. Она – начальник, я – исполнитель. Так и распределяется.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;1;;;dialog;да
253;244;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;3;- Как вы можете так о ней говорить? Вы ведь ее совсем не знаете! И не боитесь, что я могу ее проинформировать?!;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;;;dialog;да
254;245;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;4;4;- Простите, но у меня сейчас начинается давно запланированная встреча. Было приятно с вами познакомиться, обращайтесь! ;да;T;-;#N/A;;Встреча;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;1;;;1;1;;dialog;да
255;246;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;обольстительно, властно;1;уравновешенное;5;0;- Да, такое часто случается. Практически в каждой компании с этим сталкиваюсь. А я, между прочим, уже десять лет в консалтинге – совсем девчонкой пришла, такая наивная была… Десять лет - это, знаете ли, срок! На десять жизней хватит… Так о чем это мы? Ах да, мне нужны данные по всем финансово-экономическим показателям за прошедшие пять лет, помесячно. Мы будем строить финансовую модель. Как раз, пока будете отдыхать, и построим…ха-ха-ха. ;нет;-;E3_5_5_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_5.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
256;247;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;1;- Хорошо, я попрошу аналитика подготовить для вас данные.  Это все?;нет;-;E3_5_5_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;0;;;;;;dialog;да
257;248;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;2;- К этой информации у меня доступа нет. Чтобы получить его, Денежная должна выдать письменное разрешение.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;;;;;;;;;dialog;да
258;249;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;3;- Перешлите запрос в письменном виде, я определю сроки и дам вам знать. ;да;T;-;#N/A;;Встреча;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;dialog;да
259;250;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;1;уравновешенное;26;уравновешенное;5;4;- Как интересно, финансовая модель! Я ведь тоже мог бы ею заняться, а приходится сидеть тут с бюджетами.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
260;251;E3.5;ВСТРЕЧА С КОНСУЛЬТАНТОМ ;;;26;властно;1;уравновешенное;6;0;- Так когда, говорите, я смогу получить данные? Напоминаю, это проект Босса. Что касается допусков к информации – не волнуйтесь, у меня все есть. А иначе как бы я у вас тут оказалась...ха-ха-ха. Итак, прошу определить сроки подготовки данных и с кем мне контактировать в ваше отсутствие!;нет;-;E3_5_6_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E3.5_6.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
