;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;;;Эффективно обрабатывать входящие письма;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;;;;;Эффективно обрабатывать входящие звонки;;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;;;;Эффективно обрабатывать результаты встречи;;;;;Управлять количеством и периодами времени, затраченного на IM;;;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;;;Легко включается в работу из стрессовой ситуации ;;;;;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;;;;
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;3;3;-          Слушай, ты талантливая и умная, ты меня еще и не в таких ситуациях выручала! Давай попробуем успеть сделать обе задачи.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;E1.233;1;1;;1;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;аналитик 2;уравновешенное;герой;уравновешенное;4;0;-          Я не успею. Я не хочу делать кое-как. Чтобы сделать хорошо две задачи, нужно время.;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.240;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;4;1;-          Ладно. Зови сюда Трутнева. Попробую с ним бюджетировать;да;E1.3;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;E1.241;1;1;;1;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;4;2;-          Выходит, придется самому сделать. Ладно. Спасибо. Можешь идти;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.242;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;4;3;-          А ты будешь делать одну задачу – бюджет. Ни о чем другом не думай. Я сейчас перешлю файл. Приступай прямо сейчас;да;MS3;MS3 - отправляется фантастическим образом;Встреча;F3;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;E1.243;1;1;;1;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;1;1;-          Сергей, привет! Ты не мог бы мне помочь? У меня тут полный аврал.  Крутько занята, только на тебя надежда. Будем делать бюджет, сводный.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.311;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;1;2;-          Сергей, нужно сделать бюджет. Срочно. Тебе придется этим заняться.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.312;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;1;3;-          Привет, Сергей! Хочешь научиться работать над бюджетом? Это практически новая ступень развития.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.313;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;аналитик 1;Туповатый позитив;герой;уравновешенное;2;0;-          Да я всегда готов помочь и что-нибудь новенькое... Вот… А бюджет, это что-то не мое. То есть… Вот… Я же никогда бюджет не делал. Я не знаю, как там все пишется и правила… Я могу посчитать, конечно, вот… Но я не знаю. Нет, я не знаю, как.;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.320;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;2;1;-          Ты посмотри все, что я тебе пришлю сейчас, и сразу приходи с вопросами, вместе разберемся;да;MS4;MS4 - отправляется фантастическим образом;Встреча;F4;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.321;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;2;2;-          Сергей, тебе все равно этим придется заниматься рано или поздно. Если ты не подключишься, мне придется делать самому, а у меня столько дел перед отпуском!;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.322;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;2;3;-          В чем  именно ты не уверен?;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.323;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;аналитик 1;Туповатый позитив;герой;уравновешенное;3;0;-          Вот этот бюджет… Я в нем не уверен. Вот… То есть я в себе не уверен в этом бюджете. Можно я пойду покурю?;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.330;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;3;1;-          Я думаю, что ты справишься. Тем более, что я готов ответить на все твои вопросы.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.331;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;3;2;-          Сказано, вопрос срочный и без тебя не  решится, еще вопросы есть по существу?;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.332;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;3;3;-          Да ты, я смотрю, совсем расклеился. Ты чего, Сергей! Справимся!;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.333;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;аналитик 1;Туповатый позитив;герой;уравновешенное;4;0;###############################################################################################################################################################################################################################################################;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.340;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;4;1;-          Я настаиваю, чтобы ты выполнил эту работу. Я пересылаю тебе файл. Смотри внимательно и не тяни с вопросами. На всю работу два часа;да;MS4;MS4 - отправляется фантастическим образом;Встреча;F4;F9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.341;0;0;;0;0
E1.3;Встреча с аналитиком 1. Суть - чувак вообще не понимает о чем идет речь и выглядит ужасно испуганным. За время разговора не удается убедить его, что он справится. ;11:25;20;герой;уравновешенное;аналитик 1;Туповатый позитив;4;2;-          Ладно. Я понял. Буду делать сам. Спасибо. Можешь идти.;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.342;0;0;;0;0
ET2.1;Звонок секретаря ГД по презе. Входящий;12:00;0;секретарь ГД;уравновешенное;герой;уравновешенное;1;0;звук телефонного звонка;-;-;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.110;0;0;;#Н/Д;#Н/Д
ET2.1;Звонок секретаря ГД по презе. Входящий;12:00;0;герой;уравновешенное;секретарь ГД;уравновешенное;1;1;ответить;да;E2;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.111;1;1;;1;0
ET2.1;Звонок секретаря ГД по презе. Входящий;12:00;0;герой;уравновешенное;секретарь ГД;уравновешенное;1;2;не ответить;да;ET2.3;;Звонок;F5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.112;1;2;;1;0
ET2.3;Повторный звонок секретаря ГД по презе через 5 мин. Входящий;12:05;0;секретарь ГД;уравновешенное;герой;уравновешенное;1;0;звук телефонного звонка;-;-;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.310;0;0;;#Н/Д;#Н/Д
ET2.3;Повторный звонок секретаря ГД по презе через 5 мин. Входящий;12:05;0;герой;уравновешенное;секретарь ГД;уравновешенное;1;1;ответить;да;E2;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.311;1;1;;1;0
ET2.3;Повторный звонок секретаря ГД по презе через 5 мин. Входящий;12:05;0;герой;уравновешенное;секретарь ГД;уравновешенное;1;2;не ответить;да;S2;;Звонок;F6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.312;1;2;;1;0
S2;Визит разгневанного ФД к герою через 10 мин. Cтандартная диалог с ФД на тему того, что герой должен выполнять свою работу и отвечать на важные звонки!;12:15;10;герой;;финдир;;1;1;я все понял, Раиса Романовна;да;ET2.4;расписать диалог;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S211;0;0;;#Н/Д;#Н/Д
ET2.4;Третий звонок секретаря ГД по презе через 5 мин. Входящий;12:30;0;секретарь ГД;уравновешенное;герой;уравновешенное;1;0;звук телефонного звонка;-;-;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.410;0;0;;#Н/Д;#Н/Д
ET2.4;Третий звонок секретаря ГД по презе через 5 мин. Входящий;12:30;0;герой;уравновешенное;секретарь ГД;уравновешенное;1;1;ответить;да;E2;ответ на звонок происходит фантастическим образом;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET2.411;0;0;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;секретарь ГД;-;герой;-;1;0;-          Соединяю с Валерием Семеновичем!;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E210;0;0;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;ГД;-;герой;-;2;0;-          Так, меня моя презентация волнует! Точно ведь явитесь не готовыми. Я не хочу как в прошлый раз за вас блох в презентации вылавливать. Готовность не ниже 80%, с другой не приму. Неделя до выставки, а я даже не знаю о чем буду говорить.  ;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E220;0;0;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;2;1;-          Валерий Семенович,  так в прошлый раз мы за день презентацию делали и аналитик готовил, которого я уже уволил.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;E221;0;2;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;2;2;-          Конечно, Валерий Семенович! Буду у Вас в 16.00 с готовой презентаций.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;E222;2;2;;2;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;2;3;-          Знаете, Валерий Семенович, у нас еще и бюджет, жаркая пора, но я все равно постараюсь и сделаю все от меня зависящее.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;E223;0;1;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;ГД;-;герой;-;3;0;-          Ты, это, займись прямо сейчас. Отвечать будешь лично. И файл заранее.;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E230;0;0;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;3;1;"-          Да, прямо сейчас проконтролирую как идет подготовка
F3 = FALSE (аналитик 2 занимается презой для ГД, сводный бюджет ему НЕ был делегирован)";да;E2.4;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;E231;0;1;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;3;1;"-          Да, прямо сейчас проконтролирую как идет подготовка
F3 = TRUE (аналитик 2 НЕ занимается презой для ГД, ему был делегирован сводный бюджет)";да;E2.2;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;E231;0;1;;0;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;3;2;-          Да, у меня в графике уже выделено время на проверку;да;T;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;E232;1;1;;1;0
E2;Разговор по телефону с ГД. Хочу понять, что там с моей презентацией. Опять явитесь не готовыми. Я хочу ее видеть не в черне, а готовой на 80%, времени - всего неделя, а я даже не знаю, что буду докладывать. Займись прямо сейчас.;12:00;10;герой;-;ГД;-;3;3;-          Непременно, сейчас запланирую время на проверку;да;P3;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;E233;2;2;;2;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;аналитик 2;уравновешенное;герой;уравновешенное;1;0;- Марина Крутько, слушаю вас.;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.210;0;0;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;1;1;-          Марина, пожалуйста, вышли прямо сейчас все, что есть по презентации для Босса.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.211;0;0;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;1;2;-          Босс звонил. Требует эту презентацию. Да еще и с максимальной готовностью. Кидай мне все, что у тебя есть. Буду смотреть.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.212;0;0;;0;0
